periodo;cp
Cheia;103,82
Cheia;103,57
Cheia;103,67
Cheia;103,72
Cheia;103,75
Cheia;103,83
Cheia;103,85
Cheia;103,87
Cheia;103,93
Cheia;104,01
Cheia;104,04
Cheia;103,28
Cheia;103,64
Cheia;104,08
Cheia;104,12
Cheia;104,2
Cheia;103,45
Cheia;103,84
Cheia;103,87
Cheia;103,9
Cheia;103,92
Cheia;104,67
Cheia;102,91
Cheia;102,93
Cheia;103,34
Cheia;102,9
Cheia;103,17
Cheia;103,19
Seca;103,04
Seca;103,12
Seca;103,14
Seca;103,22
Seca;103,91
Seca;103,95
Seca;102,85
Seca;102,86
Seca;102,94
Seca;103
Seca;103
Seca;103,06
Seca;103,24
Seca;103,28
Seca;103,39
Seca;103,57
Seca;103,01
Seca;103,16
Seca;103,48
Seca;103,48
Seca;103,49
Seca;103,51
Seca;103,3
